timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784785198966,985,Practice Automation-1,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,47410,125,10,10,https://www.easycalculation.com/,633,0,0
1784785199164,808,info,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,807,0,573
1784785199952,198,example,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,872,113,10,10,https://example.com/,198,0,0
1784785199949,302,W3org,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,54790,112,10,10,https://www.w3.org/,89,0,0
1784785199973,282,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-2,text,false,,329,119,10,10,https://www.wikipedia.org/,282,0,0
1784785200156,204,W3org,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,54790,112,10,10,https://www.w3.org/,108,0,0
1784785200257,830,httpbin,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,490,116,10,10,https://httpbin.org/get,830,0,0
1784785200252,908,info,200,OK,Non Gui TestCases using CSV files 1-8,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,906,0,540
1784785200362,815,info,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,2450,143,10,10,https://info.cern.ch/hypertext/WWW/TheProject.html,814,0,491
1784785201161,356,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-8,text,false,,329,119,10,10,https://www.wikipedia.org/,356,0,0
1784785201178,340,wikkepedia,403,Forbidden,Non Gui TestCases using CSV files 1-7,text,false,,329,119,10,10,https://www.wikipedia.org/,340,0,0
1784785199872,1684,httpbin,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,490,116,10,10,https://httpbin.org/get,1684,0,0
1784785170553,31129,httpbin,200,OK,Non Gui TestCases using CSV files 1-6,text,true,,490,116,10,10,https://httpbin.org/get,31129,0,1077
1784785201088,684,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-2,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,684
1784785201558,590,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-4,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,590
1784785201684,579,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-6,text,false,,3045,0,10,10,https://www.free-css.com/,0,0,579
1784785201774,693,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,374,0,0
1784785202150,653,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,11273,128,10,10,https://quotes.toscrape.com/page/1/,317,0,0
1784785201519,1839,httpbin,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,490,116,10,10,https://httpbin.org/get,1839,0,0
1784785202468,1001,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-2,text,true,,51579,130,10,10,https://books.toscrape.com/index.html,336,0,0
1784785202267,1662,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-6,text,true,,11273,128,9,9,https://quotes.toscrape.com/page/1/,1091,0,641
1784785203359,634,freecsstemplate,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: (internal_error) Received fatal alert: internal_error,Non Gui TestCases using CSV files 1-7,text,false,,3045,0,9,9,https://www.free-css.com/,0,0,634
1784785202805,1496,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,51579,130,9,9,https://books.toscrape.com/index.html,552,0,0
1784785203993,641,quotestoscrape,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,11273,128,9,9,https://quotes.toscrape.com/page/1/,325,0,0
1784785204301,465,Gui ,200,OK,Non Gui TestCases using CSV files 1-4,text,true,,14907,114,9,9,https://octoperf.com/,363,0,0
1784785203932,1643,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-6,text,true,,51579,130,9,9,https://books.toscrape.com/index.html,944,0,626
1784785204634,1154,bookstoscrape,200,OK,Non Gui TestCases using CSV files 1-7,text,true,,51579,130,9,9,https://books.toscrape.com/index.html,320,0,0
